 RepBThompson,@BennieGThompson
 RepKevinBrady,@RepKevinBrady
 RepMarkAmodei,@MarkAmodeiNV2
 RepScottPerry,@RepScottPerry
 Richard Hudson,@RepRichHudson
 Rick W. Allen,@RepRickAllen
 Rob Woodall,@RepRobWoodall
 Robin Kelly,@RepRobinKelly
 Rodney Frelinghuysen,@USRepRodney
 Ron DeSantis,@RepDeSantis
 Rosa DeLauro,@rosadelauro
 Ruben Gallego,@RepRubenGallego
 Ryan Zinke,@RepRyanZinke
 Sam Johnson,@SamsPressShop
 Sandy Levin,@repsandylevin
 Sanford Bishop,@SanfordBishop
 Scott DesJarlais,@DesJarlaisTN04
 Sean Duffy,@RepSeanDuffy
 Sean Patrick Maloney,@RepSeanMaloney
 Sensenbrenner Press,@JimPressOffice
 Seth Moulton,@sethmoulton
 Sheila Jackson Lee,@JacksonLeeTX18
 Sonya Leighton,@repbobbyscott
 Steny Hoyer,@WhipHoyer
 Steve Cohen,@RepCohen
 Steve King,@SteveKingIA
 Steve Pearce,@RepStevePearce
 Steve Stivers,@RepSteveStivers
 Susan W. Brooks,@SusanWBrooks
 Suzanne Bonamici,@RepBonamici
 Ted Budd,@RepTedBudd
 Ted Poe,@JudgeTedPoe
 Ted Yoho,@RepTedYoho
 Thomas Massie,@RepThomasMassie
 Tim Walz,@RepTimWalz
 Tom Emmer,@RepTomEmmer
 Tom Graves,@RepTomGraves
 Tom MacArthur,@RepTomMacArthur
 Tom McClintock,@RepMcClintock
 Tom Price,@RepTomPrice
 Tom Reed,@RepTomReed
 Tom Rooney,@TomRooney
 Tom Suozzi,@RepTomSuozzi
 Trent Kelly,@RepTrentKelly
 Trey Gowdy,@TGowdySC
 Trey Hollingsworth,@RepTrey
 U.S. Rep. Billy Long,@USRepLong
 U.S. Rep. Bob Latta,@boblatta
 U.S.Rep Gonzalez,@RepGonzalez
 US Rep E.B.Johnson,@RepEBJ
 US Rep Kathy Castor,@USRepKCastor
 US Rep Rodney Davis,@RodneyDavis
 US Rep. Al Lawson Jr,@RepAlLawsonJr
 US Rep. Filemon Vela,@RepFilemonVela
 US Rep. Mike Turner,@RepMikeTurner
 US Rep. Rick Nolan,@USRepRickNolan
 Virginia Foxx,@virginiafoxx
 Yvette D. Clarke,@RepYvetteClarke
Anthony Brown,@RepAnthonyBrown
Jerry Nadler,@RepJerryNadler
